,City,Latitude,Longitude,Temperature,Pressure,Humidity,id,hotel_name,hotel_score,hotel_latitude,hotel_longitude
0,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Hotel Canal Aigues Mortes,8.5,43.57,4.19
1,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Notre cocon des remparts,,43.57,4.19
2,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Résidence Odalys Le Mas des Flamants,8.1,43.57,4.18
3,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Hôtel Le Médiéval,8.6,43.57,4.19
4,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,La Maison de Lyna,9.1,43.57,4.19
5,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Hôtel Saint Louis,8.4,43.57,4.19
6,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Résidence Odalys Fleur de Sel,8.3,43.57,4.18
7,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,La Villa Mazarin,9.2,43.56,4.19
8,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,Maison des Croisades,8.8,43.57,4.19
9,Aigues Mortes,43.57,4.19,8.32,1009.9,58.92,102716851,le dit vin secret,8.6,43.57,4.19
10,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Appart'City Collection Nîmes Arènes,8.6,43.83,4.36
11,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Zenitude Hôtel-Résidences Nîmes Centre,7.9,43.83,4.37
12,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Mezza'Nîmes,9.3,43.84,4.37
13,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Odalys City Nîmes Arènes,,43.83,4.36
14,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,logement f2 centre calme avec garage,7.9,43.83,4.36
15,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Twenty Business Flats Nîmes Trigone,8.3,43.83,4.37
16,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Maison Albar Hotels L’Imperator,9.1,43.84,4.35
17,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,hotelF1 Nîmes Ouest,6.5,43.82,4.34
18,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Appartement avec terrasse panoramique au coeur de Nîmes,9.3,43.84,4.36
19,Nimes,43.84,4.36,7.01,1009.9,60.72,102307633,Logis NIMOTEL Hôtel Cosy,7.7,43.82,4.35
20,Saintes Maries de la mer,43.45,4.43,8.56,1009.6,62.65,102529062,Les Vagues,8.7,43.45,4.43
21,Saintes Maries de la mer,43.45,4.43,8.56,1009.6,62.65,102529062,Manade des Baumelles,8.5,43.52,4.37
22,Saintes Maries de la mer,43.45,4.43,8.56,1009.6,62.65,102529062,Maison l'Etrier,9.2,43.47,4.41
23,Saintes Maries de la mer,43.45,4.43,8.56,1009.6,62.65,102529062,Mas De Calabrun,8.4,43.5,4.43
